<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;D;101207;000000;323.7800000;323.9900000;318.1200000;318.2000000;13.004.879
US1.AAPL;D;101208;000000;319.7300000;321.0200000;317.1100000;321.0100000;10.766.184
US1.AAPL;D;101209;000000;322.1700000;322.5000000;319.0200000;319.8900000;9.853.107
US1.AAPL;D;101210;000000;319.6000000;321.0500000;318.6000000;320.6000000;8.723.530
US1.AAPL;D;101213;000000;324.7000000;325.0600000;321.0000000;321.6000000;14.214.458
US1.AAPL;D;101214;000000;321.5000000;322.5400000;319.0000000;320.2600000;11.356.586
US1.AAPL;D;101215;000000;319.9200000;323.0000000;319.1900000;320.4000000;12.319.982
US1.AAPL;D;101216;000000;321.0300000;322.6100000;320.1000000;321.0000000;10.141.333
US1.AAPL;D;101217;000000;321.3000000;321.7900000;320.2300000;320.6600000;8.165.890
US1.AAPL;D;101220;000000;321.6000000;323.2500000;318.2300000;322.2000000;12.255.159
US1.AAPL;D;101221;000000;323.0100000;324.3900000;322.0500000;324.2100000;7.976.851
US1.AAPL;D;101222;000000;324.3900000;325.7200000;323.5500000;325.2500000;8.588.295
US1.AAPL;D;101223;000000;325.0000000;325.1500000;323.1700000;323.6000000;6.493.732
US1.AAPL;D;101227;000000;323.1700000;325.4400000;321.5200000;324.7000000;8.400.439
US1.AAPL;D;101228;000000;325.9102000;326.6600000;325.0600000;325.4700000;5.821.524
US1.AAPL;D;101229;000000;326.0700000;326.4500000;325.1000000;325.3000000;5.246.538
US1.AAPL;D;101230;000000;325.3800000;325.5100000;323.0500000;323.6600000;5.255.393
US1.AAPL;D;101231;000000;322.9600000;323.4800000;321.3100000;322.4400000;6.266.407
US1.AAPL;D;110103;000000;325.6400000;330.2600000;324.8365000;329.7200000;14.951.015
US1.AAPL;D;110104;000000;332.4600000;332.5300000;328.1500000;331.3000000;10.357.022
US1.AAPL;D;110105;000000;329.4500000;334.3400000;329.4500000;334.0000000;8.611.602
US1.AAPL;D;110106;000000;334.9700000;335.2500000;332.9000000;333.6500000;9.076.963
US1.AAPL;D;110107;000000;334.0900000;336.3500000;331.9000000;336.1300000;10.421.516
US1.AAPL;D;110110;000000;338.7100000;343.2300000;337.1700000;342.3000000;13.936.739
US1.AAPL;D;110111;000000;344.7200000;344.9600000;339.4700000;341.6000000;14.801.374
US1.AAPL;D;110112;000000;343.4600000;344.4300000;342.0000000;344.4200000;9.811.847
US1.AAPL;D;110113;000000;345.1100000;346.6400000;343.8500000;345.6600000;9.517.199
US1.AAPL;D;110114;000000;345.8900000;348.4800000;344.4400000;348.4600000;10.389.841
US1.AAPL;D;110118;000000;329.4500000;344.1600000;326.0000000;341.0000000;57.238.587
US1.AAPL;D;110119;000000;348.3900000;348.6000000;336.8800000;338.8400000;37.480.718
US1.AAPL;D;110120;000000;336.4300000;338.3000000;330.1200000;332.8200000;25.577.201
US1.AAPL;D;110121;000000;333.6200000;334.8800000;326.6300000;326.7200000;25.788.722
US1.AAPL;D;110124;000000;326.8400000;337.4200000;326.7200000;337.3800000;19.273.640
US1.AAPL;D;110125;000000;336.3600000;341.4400000;334.5700000;341.4000000;18.859.669
US1.AAPL;D;110126;000000;342.9200000;345.6000000;341.5000000;343.8700000;17.003.602
US1.AAPL;D;110127;000000;343.7800000;344.6928000;342.8310000;343.2500000;9.359.313
US1.AAPL;D;110128;000000;344.1800000;344.4000000;333.5280000;336.0500000;20.147.218
US1.AAPL;D;110131;000000;335.8100000;340.0400000;334.3000000;339.3000000;11.873.527
US1.AAPL;D;110201;000000;341.3000000;345.6500000;340.9800000;345.1100000;14.129.705
US1.AAPL;D;110202;000000;344.4400000;345.2500000;343.5500000;344.3200000;8.788.596
US1.AAPL;D;110203;000000;343.7500000;344.2400000;338.5500000;343.4100000;13.618.637
US1.AAPL;D;110204;000000;343.6500000;346.7000000;343.5100000;346.5000000;10.727.198
US1.AAPL;D;110207;000000;347.8200000;353.2500000;347.6300000;351.8700000;15.465.298
US1.AAPL;D;110208;000000;353.5000000;355.5200000;352.1500000;355.3200000;12.717.320
US1.AAPL;D;110209;000000;355.1600000;359.0000000;354.8700000;358.1200000;16.455.803
US1.AAPL;D;110210;000000;357.4000000;360.0000000;348.0000000;354.5400000;31.808.884
US1.AAPL;D;110211;000000;354.8100000;357.8000000;353.5401000;356.8600000;12.261.830
US1.AAPL;D;110214;000000;356.8200000;359.4800000;356.7100000;359.1800000;9.738.114
US1.AAPL;D;110215;000000;359.2000000;359.9700000;357.5500000;359.9500000;9.427.723
US1.AAPL;D;110216;000000;360.8000000;364.9000000;360.5000000;363.0600000;16.199.137
US1.AAPL;D;110217;000000;357.2500000;360.2700000;356.5200000;358.2900000;17.419.969
US1.AAPL;D;110218;000000;358.4100000;359.5000000;349.5200000;350.5600000;26.441.421
US1.AAPL;D;110222;000000;342.4700000;345.4000000;337.7200000;338.6800000;29.094.531
US1.AAPL;D;110223;000000;338.7700000;344.6400000;338.6100000;342.6200000;22.347.626
US1.AAPL;D;110224;000000;344.0400000;345.1500000;338.3700000;342.5700000;16.575.112
US1.AAPL;D;110225;000000;345.2400000;348.4300000;344.8000000;348.2900000;12.820.100
US1.AAPL;D;110228;000000;351.2300000;355.0500000;351.1200000;353.4900000;12.812.364
US1.AAPL;D;110301;000000;355.5000000;355.7200000;347.6810000;349.5000000;15.022.078
US1.AAPL;D;110302;000000;350.1300000;354.3500000;348.4000000;352.1200000;20.935.472
US1.AAPL;D;110303;000000;356.8300000;359.7900000;355.9200000;359.5600000;16.756.834
US1.AAPL;D;110304;000000;360.0700000;360.2900000;357.7500000;360.0000000;14.689.149
US1.AAPL;D;110307;000000;361.3800000;361.6700000;351.3100000;355.4000000;18.636.494
US1.AAPL;D;110308;000000;354.9500000;357.4000000;352.2500000;355.6700000;12.108.665
US1.AAPL;D;110309;000000;354.7000000;354.7600000;350.6000000;352.4500000;15.715.549
US1.AAPL;D;110310;000000;349.4500000;349.8800000;344.9000000;346.7100000;17.225.105
US1.AAPL;D;110311;000000;345.2100000;352.3200000;345.0000000;352.0080000;16.031.930
US1.AAPL;D;110314;000000;353.0400000;356.4844000;351.3100000;353.5600000;14.547.701
US1.AAPL;D;110315;000000;342.1000000;347.8400000;340.1000000;345.4300000;24.229.850
US1.AAPL;D;110316;000000;341.6800000;343.0000000;326.2600000;330.0300000;39.731.143
US1.AAPL;D;110317;000000;336.8300000;339.6100000;334.2200000;334.4900000;21.889.900
US1.AAPL;D;110318;000000;337.3100000;338.2000000;330.0000000;330.6600000;24.651.714
US1.AAPL;D;110321;000000;336.0000000;339.7400000;335.2600000;339.2000000;13.671.838
US1.AAPL;D;110322;000000;342.6100000;342.6200000;339.1400000;341.1300000;10.897.947
US1.AAPL;D;110323;000000;339.3900000;340.2200000;335.9500000;339.1300000;12.603.492
US1.AAPL;D;110324;000000;341.8800000;345.2300000;338.8600000;345.0300000;13.401.824
US1.AAPL;D;110325;000000;348.0500000;352.0600000;347.0200000;351.5900000;15.105.317
US1.AAPL;D;110328;000000;353.1600000;354.3200000;350.4400000;350.4500000;10.302.729
US1.AAPL;D;110329;000000;347.6000000;350.9600000;346.0600000;350.9500000;11.724.693
US1.AAPL;D;110330;000000;350.7100000;350.8800000;347.4400000;348.7700000;10.969.577
US1.AAPL;D;110331;000000;346.2900000;349.8000000;346.0600000;348.5760000;8.617.164
US1.AAPL;D;110401;000000;351.1100000;351.5872000;343.3000000;344.5500000;13.941.759
US1.AAPL;D;110404;000000;344.4800000;344.6000000;338.4000000;341.2000000;15.668.919
US1.AAPL;D;110405;000000;336.9900000;342.2500000;336.0000000;338.6900000;15.964.362
US1.AAPL;D;110406;000000;341.4400000;343.9000000;337.1400000;338.0400000;13.500.349
US1.AAPL;D;110407;000000;338.0800000;340.4300000;336.0300000;338.0800000;12.573.729
US1.AAPL;D;110408;000000;340.0100000;340.1500000;333.9500000;335.0600000;12.601.530
US1.AAPL;D;110411;000000;333.9900000;335.6700000;330.0200000;330.9900000;13.596.775
US1.AAPL;D;110412;000000;330.5800000;333.7300000;330.2000000;332.4000000;14.247.161
US1.AAPL;D;110413;000000;335.0600000;336.1400000;332.5200000;336.0881000;11.393.994
US1.AAPL;D;110414;000000;334.9800000;336.0000000;332.0600000;332.0700000;10.237.132
US1.AAPL;D;110415;000000;333.4500000;333.6400000;326.8000000;327.4800000;14.129.628
US1.AAPL;D;110418;000000;326.1500000;332.2300000;320.1600000;331.8500000;20.910.611
US1.AAPL;D;110419;000000;333.1900000;337.9800000;332.2500000;337.8800000;14.373.625
US1.AAPL;D;110420;000000;343.6300000;345.7500000;341.5000000;342.3600000;18.451.323
US1.AAPL;D;110421;000000;355.0300000;355.1300000;348.5200000;350.7100000;25.173.831
US1.AAPL;D;110425;000000;350.3800000;353.7500000;350.3000000;353.1000000;8.829.769
US1.AAPL;D;110426;000000;353.6200000;354.9900000;349.3500000;350.4600000;10.813.414
US1.AAPL;D;110427;000000;352.1600000;352.3500000;347.1000000;350.2400000;11.750.027
US1.AAPL;D;110428;000000;346.1400000;349.7500000;345.5200000;347.1100000;11.465.508
US1.AAPL;D;110429;000000;347.1400000;353.9500000;346.6660000;349.0900000;19.593.953
US1.AAPL;D;110502;000000;349.7300000;350.4690000;345.5000000;346.2280000;14.012.811
US1.AAPL;D;110503;000000;347.9900000;349.8900000;345.6200000;348.0000000;10.582.456
US1.AAPL;D;110504;000000;348.2600000;351.8300000;346.8800000;349.9200000;13.117.082
US1.AAPL;D;110505;000000;348.4200000;350.9500000;346.0500000;346.9100000;11.447.940
US1.AAPL;D;110506;000000;349.6900000;350.0000000;346.2100000;346.5500000;9.453.121
US1.AAPL;D;110509;000000;347.8200000;349.2000000;346.5276000;347.5100000;6.956.810
US1.AAPL;D;110510;000000;348.8700000;349.6900000;346.6600000;349.4500000;9.412.148
US1.AAPL;D;110511;000000;349.0000000;350.0000000;345.2400000;347.2400000;11.217.563
US1.AAPL;D;110512;000000;346.1200000;347.1200000;342.2700000;346.5900000;10.871.508
US1.AAPL;D;110513;000000;345.6600000;346.2500000;340.3500000;340.4800000;11.164.302
US1.AAPL;D;110516;000000;339.2000000;341.2200000;332.6000000;333.3200000;14.795.033
US1.AAPL;D;110517;000000;332.0000000;336.1400000;330.7300000;336.1100000;14.908.710
US1.AAPL;D;110518;000000;336.4700000;341.0500000;336.0000000;339.7800000;11.500.226
US1.AAPL;D;110519;000000;342.0500000;342.4140000;338.6700000;340.5500000;8.850.008
US1.AAPL;D;110520;000000;339.5600000;340.9500000;335.0200000;335.1500000;11.381.849
US1.AAPL;D;110523;000000;329.9700000;335.9800000;329.4200000;334.4000000;13.057.552
US1.AAPL;D;110524;000000;335.5100000;335.8990000;331.3400000;332.3500000;10.840.355
US1.AAPL;D;110525;000000;333.5000000;338.5600000;332.8500000;336.5500000;9.774.058
US1.AAPL;D;110526;000000;335.8000000;336.8900000;334.4350000;334.9900000;7.547.207
US1.AAPL;D;110527;000000;334.8000000;337.6300000;334.3100000;337.3700000;6.926.089
US1.AAPL;D;110531;000000;341.1000000;347.7400000;341.0000000;347.6800000;13.458.552
